pair_id,score_t1,score_t2,score_t3,score_t4,drift_t2,drift_t3,drift_t4
0,8.674087524414062,0.29499348998069763,6.328118324279785,2.073734998703003,8.379094034433365,2.3459692001342773,6.60035252571106
1,12.536300659179688,11.589593887329102,10.37114143371582,10.3523588180542,0.9467067718505859,2.165159225463867,2.1839418411254883
2,5.86375617980957,1.9935026168823242,2.0419466495513916,3.948828935623169,3.870253562927246,3.8218095302581787,1.9149272441864014
3,5.954244136810303,4.036137580871582,5.5802717208862305,6.31417179107666,1.9181065559387207,0.37397241592407227,-0.3599276542663574
4,6.379896640777588,6.1741766929626465,4.097485542297363,6.136068820953369,0.2057199478149414,2.2824110984802246,0.24382781982421875
5,6.196054458618164,1.9378697872161865,3.725219249725342,1.109161376953125,4.2581846714019775,2.4708352088928223,5.086893081665039
6,13.916753768920898,2.1416542530059814,3.2983055114746094,5.995948791503906,11.775099515914917,10.618448257446289,7.920804977416992
7,7.456423759460449,5.532928466796875,7.526963710784912,2.979677200317383,1.9234952926635742,-0.07053995132446289,4.476746559143066
8,3.934084892272949,2.678706407546997,-0.35569918155670166,1.5553641319274902,1.2553784847259521,4.289784073829651,2.378720760345459
9,6.847377300262451,10.357131958007812,9.750616073608398,3.789670467376709,-3.5097546577453613,-2.9032387733459473,3.057706832885742
10,5.549684524536133,9.912576675415039,7.964943885803223,12.326922416687012,-4.362892150878906,-2.41525936126709,-6.777237892150879
11,6.048646926879883,-0.8281022906303406,5.472363471984863,4.471778392791748,6.876749217510223,0.5762834548950195,1.5768685340881348
12,7.697702407836914,12.950316429138184,4.518277168273926,8.48788070678711,-5.2526140213012695,3.1794252395629883,-0.7901782989501953
13,4.831111431121826,3.4595985412597656,1.8257462978363037,2.591425895690918,1.3715128898620605,3.0053651332855225,2.239685535430908
14,1.4951823949813843,0.2777877449989319,1.1635788679122925,2.5840742588043213,1.2173946499824524,0.3316035270690918,-1.088891863822937
