emotion,v1,v2,U,p_raw,p_bonf,sig
humor,mean_diff,probe_w,1243.0,0.9642528878023805,1.0,ns
humor,mean_diff,random,2058.5,2.5358467973421474e-08,2.2822621176079326e-07,***
humor,probe_w,random,2077.0,1.2072467261694411e-08,1.086522053552497e-07,***
melancholy,mean_diff,probe_w,1147.0,0.47980480920169444,1.0,ns
melancholy,mean_diff,random,1362.0,0.44209463261794313,1.0,ns
melancholy,probe_w,random,1439.0,0.19377752195695064,1.0,ns
horror,mean_diff,probe_w,1241.0,0.9532727267129067,1.0,ns
horror,mean_diff,random,1803.0,0.00013962281497052493,0.0012566053347347244,**
horror,probe_w,random,1788.0,0.0002110339206696686,0.0018993052860270174,**
